1 xplmin   xplmax   zplmax   arad   x-zero   xmagax   xmaj  xzmax  xatpi  xofset  a-ratio
     2   70  -0.272743345E+00   0.405253872E+01   0.484507091E-02   0.169836712E-02  -0.260138548E-03   0.350442150E+00   0.101244786E-02  -0.354378633E+00  -0.158948509E-03
     2   71  -0.272743345E+00   0.405238857E+01   0.475232303E-02   0.166590254E-02  -0.252161469E-03   0.350455157E+00   0.106567316E-02  -0.354391807E+00  -0.158929890E-03
     2   72  -0.272743345E+00   0.405224142E+01   0.465488901E-02   0.163179248E-02  -0.244099684E-03   0.350468099E+00   0.111783878E-02  -0.354404521E+00  -0.158589021E-03
     2   73  -0.272743345E+00   0.405209741E+01   0.455286775E-02   0.159607149E-02  -0.235966759E-03   0.350480955E+00   0.116889321E-02  -0.354416775E+00  -0.157920822E-03
     2   74  -0.272743345E+00   0.405195669E+01   0.444636261E-02   0.155877570E-02  -0.227773897E-03   0.350493703E+00   0.121878618E-02  -0.354428571E+00  -0.156922970E-03
     2   75  -0.272743345E+00   0.405181939E+01   0.433548130E-02   0.151994277E-02  -0.219538400E-03   0.350506315E+00   0.126746859E-02  -0.354439904E+00  -0.155587428E-03
     2   76  -0.272743345E+00   0.405168564E+01   0.422033574E-02   0.147961186E-02  -0.211271290E-03   0.350518768E+00   0.131489267E-02  -0.354450778E+00  -0.153912813E-03
     2   77  -0.272743345E+00   0.405155558E+01   0.410104192E-02   0.143782356E-02  -0.202985671E-03   0.350531038E+00   0.136101192E-02  -0.354461192E+00  -0.151896017E-03
     2   78  -0.272743345E+00   0.405142933E+01   0.397771979E-02   0.139461987E-02  -0.194689751E-03   0.350543103E+00   0.140578124E-02  -0.354471151E+00  -0.149539181E-03
     2   79  -0.272743345E+00   0.405130702E+01   0.385049309E-02   0.135004414E-02  -0.186398098E-03   0.350554935E+00   0.144915692E-02  -0.354480655E+00  -0.146838426E-03
     2   80  -0.272743345E+00   0.405118876E+01   0.371948923E-02   0.130414102E-02  -0.178117541E-03   0.350566512E+00   0.149109669E-02  -0.354489709E+00  -0.143797934E-03
     2   81  -0.272743345E+00   0.405107467E+01   0.358483915E-02   0.125695641E-02  -0.169857936E-03   0.350577808E+00   0.153155975E-02  -0.354498318E+00  -0.140419175E-03
     2   82  -0.272743345E+00   0.405096486E+01   0.344667715E-02   0.120853740E-02  -0.161627456E-03   0.350588799E+00   0.157050681E-02  -0.354506484E+00  -0.136705605E-03
     2   83  -0.272743345E+00   0.405085944E+01   0.330514079E-02   0.115893224E-02  -0.153429971E-03   0.350599466E+00   0.160790014E-02  -0.354514215E+00  -0.132665267E-03
     2   84  -0.272743345E+00   0.405075850E+01   0.316037071E-02   0.110819027E-02  -0.145276627E-03   0.350609779E+00   0.164370356E-02  -0.354521514E+00  -0.128299209E-03
     2   85  -0.272743345E+00   0.405066215E+01   0.301251048E-02   0.105636189E-02  -0.137171038E-03   0.350619717E+00   0.167788251E-02  -0.354528386E+00  -0.123616271E-03
     2   86  -0.272743345E+00   0.405057047E+01   0.286170648E-02   0.100349848E-02  -0.129112544E-03   0.350629265E+00   0.171040403E-02  -0.354534842E+00  -0.118629817E-03
     2   87  -0.272743345E+00   0.405048355E+01   0.270810773E-02   0.949652368E-03  -0.121111803E-03   0.350638391E+00   0.174123683E-02  -0.354540882E+00  -0.113342130E-03
     2   88  -0.272743345E+00   0.405040148E+01   0.255186575E-02   0.894876769E-03  -0.113167697E-03   0.350647078E+00   0.177035130E-02  -0.354546516E+00  -0.107767494E-03
     2   89  -0.272743345E+00   0.405032434E+01   0.239313440E-02   0.839225735E-03  -0.105280170E-03   0.350655310E+00   0.179771951E-02  -0.354551750E+00  -0.101919339E-03
     2   90  -0.272743345E+00   0.405025219E+01   0.223206977E-02   0.782754102E-03  -0.974532068E-04   0.350663062E+00   0.182331525E-02  -0.354556589E+00  -0.958072557E-04
     2   91  -0.272743345E+00   0.405018511E+01   0.206882996E-02   0.725517438E-03  -0.896831891E-04   0.350670322E+00   0.184711405E-02  -0.354561041E+00  -0.894486180E-04
     2   92  -0.272743345E+00   0.405012317E+01   0.190357500E-02   0.667571990E-03  -0.819750301E-04   0.350677059E+00   0.186909319E-02  -0.354565110E+00  -0.828524417E-04
     2   93  -0.272743345E+00   0.405006641E+01   0.173646668E-02   0.608974628E-03  -0.743176136E-04   0.350683281E+00   0.188923170E-02  -0.354568805E+00  -0.760439292E-04
     2   94  -0.272743345E+00   0.405001489E+01   0.156766838E-02   0.549782797E-03  -0.667186361E-04   0.350688944E+00   0.190751041E-02  -0.354572127E+00  -0.690296149E-04
     2   95  -0.272743345E+00   0.404996866E+01   0.139734495E-02   0.490054464E-03  -0.591671452E-04   0.350694057E+00   0.192391192E-02  -0.354575085E+00  -0.618348136E-04
     2   96  -0.272743345E+00   0.404992777E+01   0.122566255E-02   0.429848063E-03  -0.516625539E-04   0.350698598E+00   0.193842064E-02  -0.354577683E+00  -0.544745926E-04
     2   97  -0.272743345E+00   0.404989226E+01   0.105278851E-02   0.369222443E-03  -0.442006173E-04   0.350702554E+00   0.195102281E-02  -0.354579925E+00  -0.469677826E-04
     2   98  -0.272743345E+00   0.404986215E+01   0.878891169E-03   0.308236819E-03  -0.367744458E-04   0.350705924E+00   0.196170645E-02  -0.354581816E+00  -0.393359502E-04
     2   99  -0.272743345E+00   0.404983748E+01   0.704139748E-03   0.246950714E-03  -0.293810734E-04   0.350708687E+00   0.197046145E-02  -0.354583357E+00  -0.315968175E-04
     2  100  -0.272743345E+00   0.404981826E+01   0.528704192E-03   0.185423916E-03  -0.220129053E-04   0.350710845E+00   0.197727951E-02  -0.354584553E+00  -0.237728012E-04
